text,likes,retweets,replies,created_at,lang,is_meaningful
"Prompt Share: Tracking shot 🎇

Video: Veo 3
Music: ElevenLabs Video to Music

🟡 Image prompt:
A luxury concept car tearing down a coastal cliff road, designed for a tracking shot, in the style of cinematic automotive realism, with metallic paint and aerodynamic curves, sunset light, copper and deep navy palette, ocean waves crashing below.

🟡 Video prompt for 1st frame:
A luxury concept car tearing down a coastal cliff road, wide aerial tracking shot, golden sunset light reflecting on metallic copper paint, ocean waves crashing below, camera gliding smoothly parallel to the car, cinematic automotive realism, coastal landscape stretching into the horizon.",0,0,0,,en,YES
"If you had told me almost 11 years ago, when Interstellar premiered, that I’d be able to do what you see here all by myself at home with just my computer, I wouldn’t have believed it 🤯

But now, with Veo 3 integrated into @runwayml creative assistant, it’s possible to create shorts, trailers, and even almost fully professional films. 

Absolutely insane.

And now tell me this isn’t progress — that AI isn’t the greatest creative revolution in the history of humanity 🚀🎬",0,0,0,,en,NO
"Veo-3 fast on Gemini 

 ""A hyper-realistic, epic wide shot from over the shoulder of a young woman as she sits on a grassy cliff, looking out at a magnificent island kingdom under a bright, clear sky."",

""style"": ""Cinematic fantasy, photorealistic CGI with a Ghibli-inspired aesthetic, 8K resolution.""

},

""camera"": {

""type"": ""Majestic Crane Shot"",

""lens"": ""50mm Anamorphic"",

""aperture"": ""f/8.0"",

""position"": ""Starts close, over the woman's right shoulder, then slowly and smoothly cranes upwards and arcs to the right, revealing the full, breathtaking panorama of the kingdom."",

""movement"": ""A slow, majestic crane and arc over the full 8 seconds to create a sense of wonder and discovery.""

},

""environment"":  ""A high, windswept cliff covered in lush green grass and small, white wildflowers."",

""kingdom"": ""A sprawling, multi-tiered city on a series of islands in a turquoise bay. The centerpiece is a colossal, white-stone castle built upon a central mountain island. Numerous ships and boats are visible in the harbor."",

""landscape"": ""The surrounding sea is dotted with smaller islands. The mainland is covered in dense, vibrant forests."",

""atmosphere"": ""A bright, clear blue sky with a few large, puffy, physically-simulated volumetric clouds drifting slowly. A gentle breeze is visible, rustling the grass and trees. A flock of birds is animated to fly across the bay.""

},

""lighting"": {

""primary_source"": {

""type"": ""Bright, late morning sun"",

""position"": ""High and to the right."",

""color_temperature"": ""5600K (Natural Daylight)"",

""intensity"": ""Bright and clear, creating soft, realistic shadows and making the water sparkle.""

}

},

""characters"": ""A young woman in her early 20s, seen from behind. She has long, light brown hair with a few small braids, adorned with a simple blue gem."",

""dress"": ""A simple but elegant dress made of flowing white and blue linen-like fabric with embroidered patterns at the hem."",

""accessories"": ""Worn leather straps and bracers with subtle tooling.""

},

""animation"": ""She sits peacefully, taking in the view. Her hair and the fabric of her dress have a realistic physics simulation, causing them to flutter and drift in the gentle breeze. At the 5-second mark, she turns her head slightly to the left, as if trying to see every detail of the kingdom.""

""sound"": ""The gentle, continuous sound of wind blowing across the grassy cliff.""",0,0,0,,en,YES
"Celebi touches the fern… and time blooms. 🌱⏳✨

Video : Veo 3 FAST via &gt; @vadooai ✨ https://t.co/XHhFNbc31q",0,0,0,,en,NO
"There’s nothing like Midjourney.

You couldn’t pull this off with Veo 3 or any other tool.

This Doof Warrior from Mad Max in puppet style — I like it even more than the original 🎸 🔥

Soon I’ll be sharing both the image prompt and the video prompt with my subscribers. https://t.co/N4IlSRrIb4",0,0,0,,en,NO
"🚨 The first-ever AI brand film series is here.

Made with TalkMe AI + Google’s AI stack (Gemini, Veo 3, Flow).

From a penguin learning English → to Nike, Oreo, Apple, Amazon &amp; more…

These 10  AI ads look too real to be AI. 👇 https://t.co/MYhBIk8ogY",0,0,0,,en,NO
"You can prompt Genie 3 with text, photos, or videos - like this cool game example created using Imagen 4 -&gt; Veo 3 -&gt; Genie 3 https://t.co/kdfqBHnK7A",0,0,0,,en,YES
"My janky nano-banana --&gt; Veo 3 workflow for longer videos:

Take the last frame of your first clip, bring to nano-banana on @lmarena_ai, and prompt the next scene - e.g. ""character turns down hallway.""

Then take the new frame back to animate. Will be 🔥 if they integrate... https://t.co/DU1o4eCuR4",0,0,0,,en,YES
"VEO 3 + Ad Factory = $1M/month 

No actors.
No studios.
No endless cycles of negotiating 

- 123% higher ROAS
- 8.9x engagement
- 98% cheaper than creative teams

AI UGC is growing brands faster than ever.

Comment ''UGC'' &amp; I’ll DM you the full guide
(must be following) https://t.co/otmJpgaJUP",0,0,0,,en,NO
"Build an open-source AI video studio with this @nextjs template using Veo 3 and Imagen 4 in the Gemini API. Create text-to-video, image-to-video, and edit videos in the browser for a specific time range. https://t.co/KNoOxEnipt",0,0,0,,en,NO
"Ideate with GPT-5, animate with Veo 3, and alter with Aleph, all in one canvas. 

Here’s a step by step guide on how to do this: https://t.co/LJCsCnYZtv",0,0,0,,en,NO
"BREAKING 🚨 Google Veo 3 will be available for FREE users on Gemini App tomorrow. 

TPUs are going to melt. Use this prompt and start creating your story if you have access to Veo 3 using the PRO plan already. 

Share your favorite Veo 3 work so far.

{ “description”:  “A girl’s delicate hand dipping into a serene, midnight pond, interacting with a dynamic, living school of tiny bioluminescent plankton that swirl and respond to her touch.”,  “lighting”: “The sole light source emanates from the bioluminescent plankton, casting a soft, underwater glow that subtly illuminates the girl’s hand and the surrounding water surface. The environment is enveloped in deep, shadowy night, with no external lights intruding.”, “background”: “A tranquil, natural pond edged with smooth stones and faint silhouettes of reeds. The backdrop fades into a soft blur of inky darkness and subtle star reflections on the water, drawing all focus to the glowing plankton interaction.”, “hands_details”: { “description”: “A girl’s hyper-realistic hands with velvety skin showing intricate pore details and subtle moisture sheen from the water. The nails are impeccably shaped and natural. Movements are slow, intentional, and caressing.”, “micro_physics”: “The hands descend with exquisite subtlety, where the gentlest immersion sends faint vibrations through the water, guiding the plankton’s dance.” }, “plankton_details”: { “description”: “A fluid, animated gathering of innumerable minuscule, glowing radiant plankton specks. Each one flickers with a gentle, organic luminescence, forming a living cloud that ebbs and flows like a breathing entity.”, “fluid_physics”: “The plankton drifts in continuous, hypnotic motion, clustering and dispersing in a natural, rhythmic symphony.” }, “sound”: { “ambience”: “Profound quietude, amplifying the tiniest auditory nuances of the encounter.”, “effects”: “A delicate, sparkling chime from the plankton as they stir. The clear, crisp ‘ripple’ of water parting around her hand, a soothing, whisper-like murmur. Engineered for a fully enveloping ASMR immersion.” }, “camera_settings”: { “camera”: “RED V-Raptor 8K VV, Netflix approved”, “resolution”: “8K (8192x4320)”, “format”: “REDCODE RAW at 8:1 compression”, “iso”: “800”, “shutter_speed”: “1/1000 second to eliminate motion blur”, “frame_rate”: “60 fps”, “quality”: “Ultra clear, hyper-realistic, no blur, maximum detail and sharpness” } }",0,0,0,,en,YES
"Google is preparing to release Veo 3 to free users on Gemini tomorrow. 

TPUs are getting ready 🤖 https://t.co/nMI6OnmgLL",0,0,0,,en,NO
"Lucky, lucky ✨ If you’ve been waiting to try #Veo3 tomorrow is your lucky day. Stay tuned… https://t.co/NCjTagpznQ",0,0,0,,en,NO
We're setting up a LOAD of TPUs today and warming them up. Ever wanted to try Veo 3 in @GeminiApp?,0,0,0,,en,NO
"Draw to Video on @higgsfield_ai

I ran some simple tests to see how Higgsfield's Draw to Video would handle it and it held up strong. 

Examples on all: 

- Veo 3 
- Veo 3 Fast 
- Minimax 02

There is definitely going to be more exploration with advanced ideas coming soon. 

Lots to explore.",0,0,0,,en,NO
"The first A.I. actor finally gets his story told.

We all know Zack Steel — his films are legendary. But only now do we begin to see what he was really going through.

#mockumentary #aidocumentary #googledeepmind #veo3",0,0,0,,en,NO
"Alolan Vulpix just turned its breath into snowflakes under the aurora… pure magic. 🦊❄️

Video : Veo 3 FAST via &gt; @BasedLabsAI ✨ https://t.co/wukJIhtpgS",0,0,0,,en,YES
"🚨 BREAKING: GPT-5, Claude 4.1, &amp; Google Veo 3 are now available on GlobalGPT!

One of the best-rated AI websites you can’t miss in 2025.

Learn how it works 👇 https://t.co/xgS2K1EKD6",0,0,0,,en,NO
"AI experiment, the artist created a realistic shot in Cinema 4D and then ran it through Veo 3 AI to add animation.

The outcome was surprisingly seamless, blending 3D craftsmanship with the flexibility of AI. #C4D #B3D #3DCG #Veo3 created by Ruslan Tikhomirow https://t.co/JW73JeY2M9",0,0,0,,en,NO
"🚨BREAKING: This kills ads agencies badly

OpenCreator can generates studio-quality commercials, storyboards, videos, voiceovers, music, and edits while maintaining character and product consistency

Plus, Veo 3 is now 80% off on OpenCreator models in one place

Here’s how:👇",0,0,0,,en,NO
"VEO 3 + ""canvas prompting"" is soooo good 🤯

These AG1, Jones Road Beauty, & Ridge product videos were created with just 2 uploaded images each.

And it's all about the visual context.

This canvas prompting technique will take any product photo + model shot...

And turn it into cinema-quality UGC videos with solid brand alignment.

Perfect for e-comm operators, creative strategists & agencies.

Just upload your canvas images + get brand-ready videos with top-notch realism.

Here's what canvas prompting gives you:

→ visual context instead of text descriptions
→ near-perfect product-model integration
→ consistent brand-ready video outputs
→ way higher realism scores

Now you've got predictable UGC generation instead of random AI outputs.

Again, AI video isn't perfect yet ... but it will be VERY soon.

Want the full canvas prompt templates + Loom video walk through? 

Like + comment ""CANVAS"" and I'll send it over (must be following so I can DM)",0,0,0,,en,NO
"VEO-3 fast on Gemini🦁

A hyper-realistic, tense cinematic video, shot with a telephoto lens, captures a small lion cub carefully crossing a deep chasm on a heavy iron chain. The cub, its body tense with concentration, moves slowly towards its mother, a lioness, who watches intently from a cliff edge. The scene is lit by harsh sunlight, creating strong contrasts against the jagged, weathered rock. The audio emphasizes the peril, with the high, continuous sound of wind whistling through the canyon and the sharp, metallic scrape and clink of the cub's claws on the iron chain.",0,0,0,,en,YES
"NEW Chinese AI DESTROYS Google Veo 3? (FREE!)

P.S. Want the full guide? DM me. https://t.co/6HLbrZLSY0",0,0,0,,en,NO
"Could something similar to the Saving Private Ryan intro be made with today’s AI tools? 

Here’s the answer 🪖🔥

Thanks to @runwayml creative assistant (now with Veo 3) and Aleph, there are almost no limits to our creativity. Yes — even a full-length film is possible.

That said, I had to generate some videos with @BasedLabsAI to make the narration more coherent, since more than half of my prompts were censored. Runway really should ease up on the censorship — it’s the biggest issue I see with it.",0,0,0,,en,YES
"Veo 3 works with Runway Aleph.

It keeps the SFX and audio even after you modify the video.

The latest Runway Chat update has brought in Veo 3 as a new third party model.

Here's how to use it! https://t.co/3gBmsfgNn6",0,0,0,,en,NO
"One song, endless magic. Meloetta sings, the world blooms. ✨🎶

Video : Veo 3 FAST via &gt; @vadooai ✨ https://t.co/5TFkjYv8Vt",0,0,0,,en,YES
"Google Veo 3 &amp; Runway Aleph.

Modifying video whilst keeping SFX, Audio and Dialogue consistency.

It's all coming together. https://t.co/JBB8k1pYeK",0,0,0,,en,NO
"Runway Gen:48 is going to be fire this weekend.

We have Veo 3 integration, giving everyone SFX, dialogue and audio.

It works with Runway Aleph.

Can't wait to see what everyone creates! https://t.co/LmGin8gqIW",0,0,0,,en,NO
"nano-banana 🍌 from veo-3

Prompt :
{
  ""shot"": {
    ""composition"": ""medium close-up, 16:9 format, subject centered waist-up"",
    ""camera_motion"": ""static tripod shot, no zoom or pan"",
    ""frame_rate"": ""30fps"",
    ""film_grain"": ""slight cinematic polish for viral social content""
  },
  ""subject"": {
    ""description"": ""attractive young woman in a fitted tank top, casually sitting at a table, smiling naturally"",
    ""wardrobe"": ""casual tank top in a bright color, minimal makeup, playful expression""
  },
  ""scene"": {
    ""location"": ""simple indoor setting with a clean neutral background, nothing distracting"",
    ""time_of_day"": ""daytime, soft indoor lighting"",
    ""environment"": ""minimal and clean so focus stays on subject and the nano banana""
  },
  ""visual_details"": {
    ""action"": ""woman casually picks up a ridiculously tiny nano banana from the table and holds it up close to the camera for viewers to see"",
    ""props"": ""tiny nano banana placed on the table before she picks it up""
  },
  ""cinematography"": {
    ""lighting"": ""bright and even, natural indoor light"",
    ""tone"": ""funny, casual, playful, meme-ready""
  },
  ""audio"": {
    ""ambient"": ""quiet indoor ambience""
  },
  ""color_palette"": ""neutral indoor tones with bright yellow accent from the banana"",
  ""dialogue"": [
    {
      ""character"": ""Woman"",
      ""line"": ""This is a nano-banana... and honestly, it’s awesome. I like it!"",
      ""voice_style"": ""playful, upbeat, meme-style delivery"",
      ""subtitles"": false
    }
  ]
}",0,0,0,,en,YES
"the current AI race isn't limited to LLMs.

especially, Google is significantly ahead in several areas, such as:

- veo 3
- genie 3
- alphaFold series
- rumored image gen model (Nano-Banana)

they may also reclaim the LLM crown with Gemini 3.0",0,0,0,,en,NO
"Whisk is coming to more countries and receives a Veo 3 upgrade with 5 free generations. 

Feels like it is just the beginning 👀 https://t.co/Sft9HvCy23",0,0,0,,en,NO
"🚨 Whisk is expanding to 77 new countries, AND we're also adding the power of Veo 3.

Now you can transform your Whisk-generated images into eight-second animated clips with enhanced detail, realism, and audio. All creators get 5 free of charge animations every month to get started. For Google AI subscribers, you'll get even higher video generation limits to fuel your projects.

Drop your creations below ⬇️",0,0,0,,en,NO
"ohh wow.. Veo 3 is now 80% off on OpenCreator

it can turn ideas into hundreds of studio level commercials in mins, generate storyboard, video, voice, music, edits, even keep character &amp; product consistent

this kills ads agencies badly

check the tutorial &amp; results: https://t.co/XG2WuLEpDv",0,0,0,,en,NO
"I've got ""Nothing"" today but you can have half 😁

Image to video Veo 3 Fast prompt: 

Shot 1 (0-3s | Wide Establishing)
A wide, desolate desert plain under a pale sky. Cracked earth, wind sweeping dust. A lone figure stands center frame, arms at their sides. Camera holds steady, evoking vast emptiness.

Shot 2 (3-6s | Medium Close-Up, Side Angle)
Cut to a medium side-angle of the figure. They slowly raise their hands, showing empty palms. Their lips move gently: “I’ve got nothing… but you can have half.” Subtle wind sound, faint hum of air.

Shot 3 (6-8s | Close-Up, Front Angle)
Close-up of their hands. From the void, a faint glowing light splits into two halves, hovering in their palms. The desert background shimmers with dreamlike distortion as the halves glow brighter. Camera lingers briefly before fading out.",0,0,0,,en,YES
"Introducing the FIRST AI Brand Film Powered by Google's Cutting-Edge AI (Gemini, Veo 3, and Flow)

Winner AI Brand Film by TalkMe AI: From ""Penguin"" to a Million Learners—The Next-Gen Duolingo!

Plus, 10 More Game-Changing AI-Powered Video Ads! https://t.co/Rw3jtMxS8O",0,0,0,,en,NO
"Veo 3 Image-to-Video is now LIVE in Hedra.

Turn any image into a video in seconds.

Get started today.",0,0,0,,en,NO
"Build your own video generation Studio with Veo 3 in Gemini API! Excited to share an open-source @nextjs template for generating videos with Google's Veo 3 and Imagen 4.

Features: 
- Generate videos from text prompts using the Veo 3 model.
- Create videos from images and text prompts via Imagen 4.0.
- Play and download your generated videos.
- Cut videos to a specific time range directly in the browser.",0,0,0,,en,NO
"VEO 3 + Ad Factory = $750k/month 

No actors.
No studios.
No endless editing cycles.

- 124% higher ROAS
- 8.7x engagement
- 89% cheaper than creative teams

AI UGC is scaling brands faster than ever.

Comment ''AD'' &amp; I’ll DM you the full system
(must be following)",0,0,0,,en,NO
"Snorlax sleeps, the forest breathes, and the Rowlets feel safe. 🌿💚🦉💤

Video : Veo 3 FAST &gt; @Imagine_aiart ✨ https://t.co/g27WJzWpWi",0,0,0,,en,YES
"Veo-3 fast on Gemini 💻

A hyper-realistic, cinematic video captures a magical jungle ecosystem emerging from a laptop screen into a quiet, sunlit room. The video begins with a close-up shot on a laptop displaying a beautiful jungle image. A single, three-dimensional leaf begins to push through the screen's surface, the pixels distorting and shimmering around it. The ambient sound of the room is joined by a faint, magical, shimmering sound.

The camera slowly pulls back to reveal a full, blossoming tree growing rapidly out of the screen, its branches reaching into the room. Five tiny, energetic monkeys climb out, chattering and exploring their new surroundings. The light from the laptop screen now acts as a magical backlight, casting a vibrant green glow into the room. The quiet is replaced by the lively sounds of the jungle—the chattering of monkeys, the rustle of leaves, and an enchanting birdsong—as the digital and natural worlds seamlessly blend.",0,0,0,,en,YES
"🔥We created 7 ad hooks in 20 minutes using Google’s Veo 3

Here’s the exact step-by-step process we’re using right now to generate high-performing hook variations using ChatGPT + JSON Prompts + Veo 3:

1️⃣ Start with a top-performing ad

Either:
→ a best-performing creative you want to keep scaling
→ or one that’s showing promise but has low thumbstop (under 30%)

2️⃣ Find the core angle and script.
Pull the core idea, script, and visual structure from the winning creative. This becomes your seed for prompting. In this case, it was a first-person shooter-style creative with a spoon of creatine.

💡 We took this visual insight, and 10X’d it in craziness

3️⃣ Use ChatGPT to brainstorm new hooks.
Prompt GPT like this: “You’re a creative strategist at a leading D2C agency. Based on this concept, product, angle, and persona, give me 3–5 Veo 3-style hooks for Meta ads.”

You’ll want to input:
→ Brand
→ Product + benefit
→ Core angle
→ Character/persona
→ A script or framework link

The ideas that come back should be bold, movement-heavy visuals. Think strong setups, pattern-interrupts, cinematic energy.

4️⃣ Pick your favourite idea and convert it into JSON

Once ChatGPT gives you options, choose one and prompt it again: “Turn this into a Veo 3 JSON script format, but don’t generate until I approve.”

JSON works better than freeform text in Veo 3. That JSON format includes everything:

→ Camera type
→ Shot movement
→ Character detail
→ Lighting and style
→ Dialogue tone
→ Constraints (no logos, no text, no music)

5️⃣ Paste into Veo 3 and generate
- Use Text to Video under Google Gemini > Flow
- Always choose V3 Fast, 10p per shot, faster, more output
- Quality mode is slower and haven’t seen any major benefits when A/B testing

6️⃣ Repeat
Use learnings from your account to test both absurd hooks (spoon on a rollercoaster) and realistic ones (whiteboard explainer).

🚨 In one session, I generated 7 hook variations in 20 minutes.

My recommendation is to either lean into the weird, obscure and crazy. Visual metaphors are a great way to do this, e.g “Anyone else struggling with brainfog?” - show someone sat in a room with smoke filling rapidly.

Want it?

💬 Retweet this post and drop robot in the comments for the exact prompt + filled JSON template.
(Make sure you're following so I can DM you)

🎥 Full demo now live in D2C Diaries Ep 42 on YouTube.",0,0,0,,en,NO
"🚨 Video Arena Leaderboard Update: 
Sora has landed on the Text-to-Video Leaderboard at #11!

The first publicly released video model by @openai, Sora has been around for over a year. In that time, new entrants like Hailuo 2 and Veo 3 have leaped in to dominate the top of the Video Arena charts. 

One thing's for sure, this leaderboard won't look like this for long. ⏩",0,0,0,,en,NO
